seed,step,joint_objective,posthoc_unconstrained_objective,fixed_in_loop_objective,joint_constraint_residual,unconstrained_constraint_residual
0,0,4.102594361159426,0.9736098696114155,1.8862739577297978,1.249000902703301e-16,0.6010654468704585
0,40,0.7338158092575243,0.1657113812114657,0.7431414646866432,1.5959455978986625e-16,1.1031883136143912
0,80,0.6704599820028265,0.14777220207868066,0.6876701787121234,2.498001805406602e-16,1.05696432000672
0,120,0.6499720428231971,0.1282394957153728,0.6563836902357781,3.3306690738754696e-16,1.0930628793409842
0,160,0.6441534620647156,0.09913670023243773,0.6460198505974383,3.885780586188048e-16,1.0902790499348032
0,200,0.6421250656625433,0.05284788037650823,0.6431778961328675,3.8163916471489756e-16,1.0280585864804674
0,240,0.6408837860525322,0.007173049622337298,0.6414737826497714,2.220446049250313e-16,1.0184186003020284
0,280,0.6400013895433678,0.0009532044346957348,0.6402994208721563,3.0531133177191805e-16,1.0122778641199266
0,320,0.6393659507563106,0.000709758631555212,0.6395183873299971,2.498001805406602e-16,1.0123560741747981
0,360,0.6389103323523256,0.0005930804309052975,0.6390043399227797,2.636779683484747e-16,1.013972976950619
0,400,0.6385902582426473,0.0005024130968731604,0.638664886730815,3.0531133177191805e-16,1.014362104618604
0,440,0.6383726739338464,0.0004277383638766748,0.6384395123867294,2.220446049250313e-16,1.0141808978934224
0,480,0.6382304190853672,0.00036510203550526384,0.6382899029352661,2.636779683484747e-16,1.013842015609447
0,520,0.6381411034457292,0.0003126463420160155,0.6381912988558727,1.942890293094024e-16,1.0134575694216728
0,560,0.6380871924660296,0.0002693326759296504,0.6381270544882064,3.2612801348363973e-16,1.0133812719908093
0,600,0.6380558285210711,0.00023423543461070174,0.6380856747752777,2.42861286636753e-16,1.013320759318975
0,640,0.6380381673534692,0.0002062669898293955,0.6380591981516964,3.3306690738754696e-16,1.0132437660280391
0,680,0.6380284711426578,0.00018422032059405824,0.6380421970360859,2.7755575615628914e-16,1.0131518902919234
0,720,0.6380232114014244,0.00016690829109913797,0.6380310667616373,3.2612801348363973e-16,1.0130472866831406
0,760,0.6380203232418427,0.00015326999659502573,0.6380234856792584,1.942890293094024e-16,1.0129325978937058
0,800,0.6380186532359433,0.00014241995605842784,0.6380180063523744,2.983724378680108e-16,1.012810500243419
1,0,3.6848105869827217,1.6697190988518185,1.1634045940969764,1.1102230246251565e-16,0.4677868646887708
1,40,0.7190587648600896,0.19726459527824844,0.7015435837267358,1.5959455978986625e-16,1.1744038487447659
1,80,0.6712250851347361,0.14744338157746878,0.6417664081188507,1.3877787807814457e-16,1.1345063748430588
1,120,0.649094015598367,0.12360304595916895,0.6396591819044382,1.8041124150158794e-16,1.1162527791455283
1,160,0.6432761686056562,0.08638407406791801,0.6389765544273426,2.220446049250313e-16,1.088494175871363
1,200,0.6416806461430844,0.04411484802166253,0.6386541447503112,1.3877787807814457e-16,1.0613562309579017
1,240,0.6406899474608068,0.015381909763361096,0.6384755431478337,2.498001805406602e-16,1.0316052385858598
1,280,0.6399558099958889,0.006110648356794719,0.6383647224659948,1.5959455978986625e-16,1.0063332956719606
1,320,0.6394146709986609,0.0037735059382872443,0.6382926990774906,1.5959455978986625e-16,0.9952701641995412
1,360,0.6390186399643608,0.0025679454479970347,0.638244285555464,1.3877787807814457e-16,0.9915457697584911
1,400,0.6387342687592874,0.0019468339874744495,0.6382096649931854,2.498001805406602e-16,0.9900022068711637
1,440,0.6385353921585742,0.0016399609041545847,0.6381827265035052,2.498001805406602e-16,0.9908812314313998
1,480,0.6383999743382961,0.001463863432629773,0.6381600964489073,2.1510571102112408e-16,0.9924298058159017
1,520,0.6383097421167934,0.0013367177225771577,0.6381401301054166,1.3877787807814457e-16,0.9942291633559387
1,560,0.6382503177525802,0.0012307119355001723,0.6381221071315853,2.0816681711721685e-16,0.9959705950184122
1,600,0.638211031492028,0.001136893837413931,0.638105730432505,2.0816681711721685e-16,0.9974940311745254
1,640,0.6381843950454903,0.001051611638513906,0.6380908674312816,2.0816681711721685e-16,0.9987492493825266
1,680,0.6381654200484329,0.0009728084299354888,0.6380774362801568,2.220446049250313e-16,0.9997485205483813
1,720,0.6381509436425657,0.0008991437452754608,0.6380653634115298,2.220446049250313e-16,1.0005309546120458
1,760,0.6381390541778844,0.0008297297493728941,0.6380545710165634,2.220446049250313e-16,1.001141499618043
1,800,0.6381286502741281,0.0007639948431451746,0.6380449752704944,2.498001805406602e-16,1.0016214353748236
2,0,3.698084377067404,1.2148865711103467,2.739348126884907,3.0531133177191805e-16,0.3680958483540805
2,40,0.7493119315272828,0.1564039431809442,0.7756228461095847,3.191891195797325e-16,1.2078181865317905
2,80,0.6833556350430522,0.11791470182026265,0.7293197864574444,2.220446049250313e-16,1.1166787398584637
2,120,0.652622002170263,0.08019531877698552,0.691689237407397,1.8041124150158794e-16,1.0891014763208835
2,160,0.6434103537067164,0.03712289422115391,0.6591330020986866,2.498001805406602e-16,1.0881140573961348
2,200,0.6414312622994176,0.008902596457901854,0.642789434350825,2.1510571102112408e-16,1.0666967957732605
2,240,0.6406976339634318,0.0022312183491146275,0.6391234623507818,2.220446049250313e-16,1.0447871502784314
2,280,0.6401377903238703,0.0009654539916156605,0.638753789920901,1.3877787807814457e-16,1.0299932068081636
2,320,0.6396642858750992,0.0005089794927647495,0.6387049269961993,1.1102230246251565e-16,1.019948056410384
2,360,0.6392720349323189,0.0003218077401089604,0.6386674803949669,1.942890293094024e-16,1.013590064409924
2,400,0.6389558195988855,0.00023756636367961906,0.6386298760427744,2.220446049250313e-16,1.0097643491684543
2,440,0.6387078027301607,0.0001963904187842624,0.6385921582973738,2.220446049250313e-16,1.0075688750725327
2,480,0.6385184571183677,0.00017334929177788798,0.6385545448952081,2.0122792321330962e-16,1.0063558152201237
