case,rows,columns,requested_rank,measured_rank,redundant_rows,paired_output_error,consistent_feasibility_residual,fixed_f_difference,representable_target_roundtrip_error,f_vs_w_gradient_error,f_finite_difference_error,w_finite_difference_error,scaled_trajectory_error,mp_max_residual,inconsistent_tested,inconsistent_paired_error,inconsistent_residual
47,5,4,3,3,2,1.1102230246251565e-16,4.163336342344337e-16,0.37648681727148164,1.1102230246251565e-16,0.0,2.7948121594789654e-10,2.7948121594789654e-10,2.220446049250313e-16,2.220446049250313e-16,False,0.0,0.0
48,4,3,3,3,1,1.1102230246251565e-16,1.1102230246251565e-16,0.0,1.1102230246251565e-16,0.0,1.9610173639638007e-16,1.9610173639638007e-16,1.1102230246251565e-16,1.1102230246251565e-16,True,1.1102230246251565e-16,0.37983278711256935
49,3,7,1,1,2,2.220446049250313e-16,3.3306690738754696e-16,0.7413140274147513,2.220446049250313e-16,0.0,1.7476925462389659e-10,2.8579155708641224e-10,3.3306690738754696e-16,2.220446049250313e-16,False,0.0,0.0
50,4,7,3,3,1,2.7755575615628914e-16,7.771561172376096e-16,0.5309006661106226,2.220446049250313e-16,0.0,3.123268310645244e-10,4.1616798895915963e-10,3.0531133177191805e-16,2.220446049250313e-16,False,0.0,0.0
51,3,5,1,1,2,2.220446049250313e-16,4.440892098500626e-16,0.9721985550768165,0.0,0.0,4.1888270629897306e-10,3.159061900959159e-10,4.0245584642661925e-16,5.551115123125783e-17,True,2.220446049250313e-16,0.32720350326066366
52,7,7,5,5,2,3.3306690738754696e-16,7.771561172376096e-16,0.40898368724118705,2.220446049250313e-16,0.0,9.566580860820295e-11,9.566580860820295e-11,3.3306690738754696e-16,5.273559366969494e-16,False,0.0,0.0
53,6,6,1,1,5,2.220446049250313e-16,4.440892098500626e-16,0.8621522722458936,0.0,0.0,2.380836083837323e-10,2.380836083837323e-10,2.220446049250313e-16,2.220446049250313e-16,False,0.0,0.0
54,8,7,5,5,3,2.220446049250313e-16,2.6645352591003757e-15,0.36829514316025214,2.498001805406602e-16,0.0,4.4403866694686656e-10,2.2199406202183525e-10,5.551115123125783e-16,1.7763568394002505e-15,True,2.7755575615628914e-16,0.3311601682235804
55,2,7,1,1,1,8.326672684688674e-17,2.7755575615628914e-17,0.8878903944418606,0.0,0.0,5.180872397758662e-10,5.2759085988896e-10,3.3306690738754696e-16,1.1102230246251565e-16,False,0.0,0.0
56,3,7,3,3,0,2.220446049250313e-16,2.220446049250313e-16,0.5773006387746888,2.0122792321330962e-16,0.0,2.689926337229309e-10,1.750965761271317e-10,2.220446049250313e-16,1.3877787807814457e-16,False,0.0,0.0
